,Polygon,Length_A,Width_A,lat,lon,Length_M,Width_M,File,Month,Group,Month_Group
1,45,0.756118084,0.520075518,58.81983526,11.02278366,NA,NA,June_Seal_Adults_Vitakalva_Day4,June,Adult,June Adult
2,17,0.848997082,0.370514897,58.82366533,11.03225,NA,NA,June_Seal_Adults_Ramso_R_Day3,June,Adult,June Adult
3,14,0.929902656,0.432454916,58.84593295,10.97505265,NA,NA,June_Seal_Adults_Vasknar_Day4,June,Adult,June Adult
4,5,0.937198931,0.369952141,58.82201008,11.03011727,1.124,0.38,June_Seal_Adults_Flaton_Day3,June,Adult,June Adult
5,18,0.944346218,0.41408365,58.82064043,11.01727585,1.107,0.387,June_Seal_Adults_Svarta_Kalva_Day4,June,Adult,June Adult
6,4,0.944821395,0.361651217,58.84661883,10.97577238,NA,NA,June_Seal_Adults_Vasknar_Day4,June,Adult,June Adult
7,5,0.955041065,0.367781757,58.84661008,10.97570878,NA,NA,June_Seal_Adults_Vasknar_Day4,June,Adult,June Adult
8,18,0.959518818,0.384279252,58.82155699,11.03035042,1.02,0.38,June_Seal_Adults_Flaton_Day3,June,Adult,June Adult
9,4,0.959649049,0.370818738,58.82475491,11.03206558,NA,NA,June_Seal_Adults_Ramso_Right_Skerry_Day4,June,Adult,June Adult
10,8,0.963360823,0.377999863,58.82476983,11.03205168,NA,NA,June_Seal_Adults_Ramso_R_Day3,June,Adult,June Adult
11,13,0.970852162,0.396131,58.82375817,11.03228813,NA,NA,June_Seal_Adults_Ramso_R_Day3,June,Adult,June Adult
12,11,0.975413867,0.528574303,58.84619699,10.97517533,NA,NA,June_Seal_Adults_Vasknar_Day4,June,Adult,June Adult
13,51,0.98663542,0.408111222,58.81993221,11.01687491,1.248,0.43,June_Seal_Adults_Svarta_Kalva_Day4,June,Adult,June Adult
14,12,0.993469997,0.430401407,58.82041871,11.0227614,NA,NA,June_Seal_Adults_Vitakalv_Day3,June,Adult,June Adult
15,1,0.993664469,0.426522732,58.81897386,11.02760679,NA,NA,June_Seal_Adults_Meta_Day3,June,Adult,June Adult
16,19,0.99488307,0.371164252,58.82006566,11.02231916,NA,NA,June_Seal_Adults_Vitakalv_Day3,June,Adult,June Adult
17,42,0.99829267,0.352370941,58.82003066,11.01701297,NA,NA,June_Seal_Adults_Svartakalva_Day3,June,Adult,June Adult
18,30,1.00078576,0.369178143,58.8216183,11.03073469,1.005,0.388,June_Seal_Adults_Flaton_Day4,June,Adult,June Adult
19,30,1.00139325,0.387566972,58.8204497,11.01735441,1.253,0.396,June_Seal_Adults_Svarta_Kalva_Day4,June,Adult,June Adult
20,43,1.002132062,0.38044957,58.8461117,10.97598809,1.092,0.416,June_Seal_Adults_Vaskar_Day3,June,Adult,June Adult
21,8,1.016452727,0.394581055,58.82004843,11.02735983,NA,NA,June_Seal_Adults_Meta_Day4,June,Adult,June Adult
22,35,1.017562521,0.493169136,58.8203049,11.01738231,NA,NA,June_Seal_Adults_Svartakalva_Day3,June,Adult,June Adult
23,31,1.018459438,0.417040093,58.82033143,11.01743699,NA,NA,June_Seal_Adults_Svartakalva_Day3,June,Adult,June Adult
